Customer_ID,Age,Annual_Income,Spending_Score,Credit_Limit,Balance,Purchase_Frequency,Avg_Transaction_Value,Customer_Tenure_Years,Credit_Utilization_Ratio,Days_Since_Last_Transaction,Revolving_Utilization,Payments,Product_Category,Payment_Status,Account_Type
23,46,48639,48,30236,23230,4,333.46,15,0.04,176,0.46,5061,Fashion,On-Time,Gold
24,23,128145,20,17077,7722,2,323.32,16,0.14,87,0.88,4511,Food,Delayed,Standard
25,36,107698,7,5000,18846,7,386.85,16,0.73,89,0.8,4716,Fashion,On-Time,Gold
26,46,38461,63,18670,9525,4,103.14,0,0.74,168,0.68,5320,Electronics,On-Time,Standard
27,27,87281,91,13198,0,8,190.28,8,0.65,55,0.86,-1202,Electronics,On-Time,Standard
28,50,72950,58,18286,16944,5,277.65,3,0.92,173,0.74,4992,Electronics,On-Time,Gold
29,35,100023,29,18181,7561,5,193.99,5,0.53,150,0.72,4483,Travel,On-Time,Gold
30,40,66069,31,13109,20022,6,99.57,19,0.73,47,0.45,-331,Food,On-Time,Platinum
31,35,62710,74,9062,11414,6,189.3,7,0.27,38,0.4,5933,Travel,On-Time,Standard
32,72,129763,19,20099,10044,6,256.28,1,0.61,42,0.25,4656,Home,On-Time,Standard
33,44,71051,15,13856,13297,2,116.51,20,0.77,101,0.93,3006,Electronics,On-Time,Standard
34,29,108056,24,33950,12659,7,347.82,20,0.7,41,0.6,4422,Fashion,Late,Platinum
35,57,65985,59,21970,0,9,82.69,10,0.81,159,0.72,3646,Home,Delayed,Standard
36,26,141666,44,14130,17426,4,451.22,1,0.4,147,0.05,3643,Home,Delayed,Platinum
37,48,47866,8,16207,9769,1,213.3,13,0.28,135,0.86,2990,Food,On-Time,Platinum
38,18,50434,50,18788,10189,4,211.51,3,0.28,87,0.2,822,Travel,On-Time,Platinum
39,25,135980,60,20783,12927,6,144.42,14,0.8,134,0.67,662,Fashion,On-Time,Platinum
40,47,57202,39,24931,16328,3,266.87,17,0.85,61,0.17,3667,Travel,On-Time,Standard
41,56,139042,60,29159,17385,7,424.48,17,0.21,153,0.09,6012,Travel,Late,Gold
42,47,110673,66,19431,14660,5,314.04,17,0.37,17,0.24,5468,Food,On-Time,Standard
43,43,68814,79,23641,0,6,414.57,14,0.92,168,0.35,2420,Food,On-Time,Gold
44,40,20000,75,23411,9503,9,485.95,3,0.01,49,0.08,3944,Electronics,On-Time,Platinum
45,22,74227,14,20790,3447,4,331.37,18,0.35,23,0.28,4623,Electronics,Delayed,Gold
46,34,79065,52,18338,11254,4,125.9,14,0.61,7,0.59,5772,Travel,Delayed,Gold
47,38,121688,3,21132,8609,5,186.24,4,0.15,136,0.47,4926,Travel,Delayed,Standard
48,60,138537,22,14774,24252,3,347.63,7,0.69,8,0.73,6396,Travel,On-Time,Gold
49,50,47600,26,10925,457,11,401.91,20,0.29,18,0.59,2457,Electronics,On-Time,Standard
50,18,107047,36,31552,10070,3,344.55,4,0.94,53,0.81,2849,Electronics,On-Time,Standard
51,49,105616,76,21724,10791,7,310.53,10,0.07,114,0.64,5118,Home,Delayed,Gold
52,39,117936,42,22185,6735,8,467.13,5,0.87,61,0.12,2566,Electronics,Late,Gold
53,34,94947,36,18267,9838,4,273.44,12,0.6,127,0.7,3457,Electronics,On-Time,Standard
54,54,20000,84,23985,24990,5,350.0,14,0.62,143,0.33,1430,Food,Delayed,Standard
55,60,68783,28,18561,12537,5,190.55,15,0.02,97,0.03,7856,Home,Delayed,Standard
56,58,28771,28,7862,20582,9,224.98,11,0.91,46,0.01,1382,Travel,On-Time,Standard
57,32,66895,48,15723,6710,1,155.5,1,0.85,123,0.22,465,Food,On-Time,Standard
58,40,114200,74,24780,15406,3,410.11,16,0.45,124,0.19,2843,Food,On-Time,Gold
59,49,87206,50,15251,4324,7,139.61,11,0.48,83,0.39,4272,Fashion,On-Time,Gold
60,59,120923,49,5338,3895,4,154.56,8,0.29,177,0.92,1846,Fashion,On-Time,Gold
61,37,88670,27,17653,0,1,98.23,15,0.33,124,0.57,2827,Travel,On-Time,Standard
62,42,23066,73,6154,2537,5,380.57,4,0.48,155,0.01,5652,Electronics,On-Time,Standard
63,28,20000,4,17532,10391,7,84.17,8,0.08,27,0.88,3216,Home,On-Time,Standard
64,27,80952,55,29483,20822,9,76.83,17,0.08,87,0.05,3285,Electronics,On-Time,Standard
65,57,66442,63,9826,9184,7,331.37,4,0.82,11,0.95,4167,Home,On-Time,Standard
66,65,35922,88,25183,11625,5,218.98,11,0.38,25,0.91,6873,Travel,On-Time,Standard
67,43,20000,96,33718,18019,6,467.18,11,0.98,136,0.44,243,Food,On-Time,Standard
68,60,45610,16,30184,7734,6,444.71,8,0.09,109,0.56,4577,Fashion,Delayed,Standard
69,50,67220,96,18179,3167,7,273.54,13,0.94,67,0.4,5274,Electronics,Delayed,Gold
70,35,101635,88,12678,3965,6,86.93,11,0.65,131,0.09,5854,Electronics,On-Time,Platinum
71,50,82545,96,21399,17848,3,297.66,13,0.31,175,0.01,3918,Electronics,Delayed,Standard
72,68,139322,54,21509,11011,8,497.46,19,0.27,173,0.47,1580,Travel,On-Time,Gold
73,44,33575,8,27373,11012,2,347.17,2,0.96,163,0.93,1207,Travel,On-Time,Standard
74,68,110242,90,20409,3760,4,407.36,6,0.34,91,0.05,4181,Travel,Delayed,Standard
75,18,76891,88,23221,19403,10,231.6,20,0.53,73,0.73,4284,Electronics,On-Time,Standard
76,57,102786,67,12728,22931,2,83.5,3,0.95,41,0.14,1584,Fashion,On-Time,Gold
77,46,57539,72,25917,11212,10,472.92,1,0.21,15,0.73,2173,Fashion,On-Time,Gold
78,40,117867,78,9791,16427,4,198.35,11,0.18,13,0.45,2089,Travel,On-Time,Gold
79,46,86808,15,14979,5485,3,118.07,1,0.22,115,0.44,1096,Fashion,Delayed,Standard
80,18,47822,15,24806,18920,4,119.91,11,0.24,174,0.81,3096,Food,On-Time,Standard
81,41,74519,12,30327,14029,5,111.25,8,0.7,131,0.18,2678,Food,On-Time,Standard
82,50,65417,77,25470,1387,3,243.31,0,0.17,163,0.46,3422,Food,Delayed,Gold
83,67,94567,85,19740,13164,4,437.02,4,0.04,166,0.08,3153,Electronics,On-Time,Standard
84,37,27808,84,19814,13129,9,116.26,11,0.72,59,0.69,2812,Fashion,Late,Gold
85,32,73825,72,12737,11271,8,389.92,20,0.96,169,0.2,-869,Electronics,On-Time,Gold
86,37,90812,62,17044,13559,0,82.61,14,0.55,41,0.6,6028,Electronics,On-Time,Gold
87,58,76320,40,5000,9672,2,104.22,7,0.36,7,0.43,-454,Home,On-Time,Gold
88,49,128877,52,33271,8716,9,102.31,6,0.03,123,0.9,2139,Fashion,On-Time,Platinum
89,37,105960,67,37729,11748,5,282.39,3,0.57,113,0.51,1675,Home,Late,Standard
90,52,74700,73,5000,7551,7,445.84,20,0.33,168,0.81,6756,Food,Late,Standard
91,46,83667,98,8526,5465,5,384.87,18,0.65,26,0.91,591,Travel,On-Time,Gold
92,59,86826,8,30899,17772,6,438.78,6,0.96,44,0.06,5426,Food,On-Time,Platinum
93,34,91131,50,13722,5985,2,438.86,1,0.02,151,0.24,3022,Travel,Delayed,Standard
94,40,20000,47,31080,8874,0,101.42,19,0.69,21,0.13,-1031,Electronics,Delayed,Platinum
95,39,62938,79,26031,6641,6,298.0,9,0.67,151,0.12,571,Home,Late,Platinum
96,23,20000,48,17432,3907,3,405.01,2,0.59,138,0.03,1679,Electronics,On-Time,Platinum
97,49,126131,17,27557,20792,2,477.32,7,0.73,79,0.56,4165,Home,On-Time,Standard
98,48,72566,9,19707,0,3,357.86,19,0.37,180,0.29,2391,Travel,On-Time,Standard
99,45,67266,84,19567,12780,3,435.44,8,0.12,27,0.42,5907,Electronics,On-Time,Gold
100,41,110871,53,24228,9084,7,217.3,9,0.0,10,0.63,6165,Home,On-Time,Standard
101,23,91892,78,26336,13351,7,367.66,9,0.4,179,0.57,2597,Home,On-Time,Platinum
102,38,29854,14,28018,8807,8,216.68,10,0.81,83,0.44,1560,Electronics,On-Time,Standard
103,39,72163,10,38840,13447,5,137.66,8,0.59,32,0.59,4900,Travel,On-Time,Standard
104,32,61593,39,22917,11981,8,79.36,15,0.15,6,0.17,-1402,Home,Delayed,Standard
105,42,20000,46,30342,14120,3,448.04,9,0.32,9,0.51,5679,Food,On-Time,Standard
106,51,47388,100,30120,22205,4,79.03,17,0.66,124,0.96,2478,Travel,On-Time,Standard
107,73,67658,19,25480,0,5,499.87,18,0.93,172,0.95,7194,Electronics,On-Time,Platinum
108,47,70401,97,15779,10568,2,279.82,18,0.86,175,0.8,3810,Home,Delayed,Standard
109,48,20000,21,28775,3043,4,276.72,11,0.63,130,0.61,2349,Fashion,On-Time,Gold
110,43,121066,47,23566,4927,4,83.07,17,0.22,132,0.38,2048,Fashion,On-Time,Standard
111,18,70915,81,9690,3335,7,83.57,4,0.87,0,0.13,3332,Electronics,On-Time,Gold
112,44,76502,15,28109,7954,5,373.16,7,0.92,163,0.87,4912,Travel,On-Time,Standard
113,45,91025,4,6990,17855,5,249.28,3,0.91,11,0.8,646,Food,Late,Gold
114,80,43476,64,25180,7354,9,129.92,18,0.57,30,0.43,4785,Fashion,Late,Gold
115,42,93254,82,15583,12421,4,141.13,16,0.87,168,0.59,1598,Fashion,On-Time,Gold
116,49,60317,73,21306,16277,2,154.28,6,0.79,108,0.55,4188,Food,On-Time,Gold
117,44,39136,20,8847,4038,11,414.68,11,0.62,38,0.11,6055,Electronics,On-Time,Standard
118,27,97937,60,14208,4416,6,325.23,11,0.98,108,0.74,4344,Electronics,On-Time,Gold
119,62,134666,76,15812,10002,7,82.52,5,0.24,132,0.34,1420,Home,On-Time,Standard
120,56,103993,54,18781,0,4,360.79,14,0.62,64,0.43,6432,Travel,Delayed,Standard
121,56,111919,23,15242,24064,7,283.91,2,0.03,105,0.57,4598,Travel,On-Time,Gold
122,31,54174,22,22782,10039,1,310.9,2,0.45,148,0.97,187,Fashion,On-Time,Standard
123,66,20000,86,23815,13917,3,185.99,1,0.83,135,0.61,4632,Fashion,On-Time,Standard
124,23,134605,10,16427,8632,5,58.03,14,0.24,147,0.29,2133,Fashion,On-Time,Gold
125,53,157180,46,20312,14452,2,278.93,7,0.75,34,0.02,3855,Home,On-Time,Gold
126,77,136712,1,24252,8779,5,317.81,7,0.76,93,0.31,808,Travel,Delayed,Standard
127,30,61568,69,5000,13908,5,340.37,7,0.63,49,0.57,-918,Home,On-Time,Gold
128,36,28814,52,23537,19077,5,248.97,8,0.89,44,0.53,2918,Electronics,On-Time,Standard
129,46,32372,10,14866,0,5,302.32,14,0.45,44,0.8,4489,Food,On-Time,Standard
130,37,20000,14,5000,14664,3,294.79,11,0.21,174,0.01,4845,Food,On-Time,Gold
131,21,70704,72,16865,6294,7,216.32,2,0.65,155,0.93,3811,Food,On-Time,Gold
132,46,139227,11,11937,2267,5,413.56,11,0.95,26,0.83,5089,Fashion,On-Time,Standard
133,29,69333,35,16245,0,5,244.94,1,0.63,93,0.22,3740,Electronics,On-Time,Standard
134,52,87092,91,23736,10683,4,156.78,15,0.88,36,0.1,266,Travel,Delayed,Gold
135,31,130023,22,26803,11973,2,54.03,4,0.87,34,0.72,3314,Travel,On-Time,Standard
136,68,58836,26,30316,5619,9,179.25,15,0.01,146,0.54,2786,Home,On-Time,Standard
137,33,156421,87,30805,1191,6,96.55,3,0.08,180,0.77,1192,Electronics,On-Time,Standard
138,40,154683,13,11707,10802,6,275.53,2,0.55,105,0.19,6999,Home,On-Time,Gold
139,57,69755,53,29679,10485,4,221.65,11,0.86,40,0.59,3798,Travel,On-Time,Gold
140,26,51898,98,10213,14209,4,162.97,10,0.38,101,0.91,1273,Fashion,Delayed,Gold
141,48,102889,26,28464,14811,7,108.16,12,0.89,131,0.98,627,Food,On-Time,Standard
142,64,61099,20,24568,18152,3,412.55,8,0.35,118,0.75,2617,Electronics,On-Time,Standard
143,20,28737,48,21365,14717,2,493.17,16,0.42,74,0.99,2216,Food,On-Time,Gold
144,47,126249,61,12909,0,4,437.67,1,0.32,44,0.96,6352,Food,On-Time,Gold
145,48,123657,76,29580,9935,6,404.05,18,0.44,155,0.97,2774,Home,Delayed,Gold
146,56,81220,71,11938,17000,3,289.04,8,0.46,67,0.41,6672,Electronics,Late,Platinum
147,26,24485,43,19819,15936,4,426.0,7,0.48,177,0.13,4144,Fashion,On-Time,Standard
148,25,25818,43,20543,27008,8,290.36,15,0.29,166,0.14,4778,Electronics,Delayed,Standard
149,52,79289,97,6417,16224,3,194.91,4,0.39,130,0.09,3599,Home,On-Time,Standard
150,49,55005,60,21191,572,7,151.78,5,0.6,33,0.0,1664,Electronics,Late,Standard
151,48,61356,41,11236,0,5,147.16,8,0.01,110,0.4,1832,Travel,On-Time,Standard
152,50,115878,22,31526,10391,5,255.27,14,0.55,24,0.97,2166,Travel,On-Time,Platinum
153,34,104327,72,41630,11056,10,337.26,4,0.02,44,0.08,933,Electronics,On-Time,Standard
154,48,130125,0,14129,6161,7,118.42,13,0.61,66,0.53,5264,Food,Delayed,Platinum
155,49,35375,35,16856,15376,4,55.47,11,0.38,80,0.83,7108,Travel,Delayed,Gold
156,34,61272,54,21330,0,4,60.26,6,0.46,86,0.96,6661,Electronics,On-Time,Gold
157,72,105359,15,5000,6752,5,188.72,14,0.81,144,0.65,1883,Travel,On-Time,Standard
158,52,92923,88,33147,0,2,374.32,1,0.67,84,0.9,5158,Electronics,On-Time,Standard
159,27,136295,17,17450,4735,4,51.71,20,0.93,114,0.47,2076,Fashion,On-Time,Platinum
160,54,91821,97,16801,7569,4,260.3,5,0.25,17,0.25,1223,Home,On-Time,Standard
161,30,148924,37,25517,17358,3,183.83,19,0.4,53,0.08,1487,Food,Delayed,Standard
162,56,96600,66,20679,1447,4,461.27,20,0.22,150,0.35,827,Fashion,On-Time,Standard
163,62,117486,19,21315,9043,7,481.43,17,0.18,16,0.59,2454,Travel,On-Time,Standard
164,32,62059,18,26748,6332,3,229.43,1,0.67,76,0.98,4921,Electronics,Late,Standard
165,59,75571,12,18999,9146,9,489.78,2,0.66,127,0.21,3506,Home,On-Time,Standard
166,51,111437,16,11012,7283,6,486.97,8,0.49,49,0.55,-2145,Food,Delayed,Platinum
167,57,139519,77,29792,8226,3,309.24,20,0.15,58,0.54,1400,Food,On-Time,Standard
168,73,104169,29,15316,5438,0,223.45,9,0.57,14,0.14,1504,Electronics,Delayed,Standard
169,41,71673,85,15754,12588,4,97.52,4,0.51,42,0.03,5810,Electronics,On-Time,Gold
170,33,130093,42,21845,17716,3,299.11,3,0.57,180,0.96,547,Food,On-Time,Standard
171,31,20000,47,9550,10293,3,425.69,3,0.45,146,0.96,2620,Electronics,On-Time,Platinum
172,32,20000,42,21914,24058,8,228.14,20,0.08,75,0.37,4529,Travel,On-Time,Platinum
173,43,102265,92,27580,10549,12,277.39,14,0.41,152,0.2,1233,Travel,On-Time,Standard
174,50,75564,65,32639,15642,3,229.25,6,0.32,109,0.8,2668,Fashion,On-Time,Gold
175,49,99220,52,25921,4681,6,366.63,17,0.27,60,0.15,5470,Travel,Late,Standard
176,57,77576,71,28584,9194,7,297.88,16,0.66,119,0.85,5316,Electronics,Delayed,Gold
177,45,97837,77,14883,7827,5,281.29,1,0.67,76,0.44,4610,Travel,On-Time,Gold
178,66,42423,33,26602,1441,3,147.97,18,0.97,65,0.11,3670,Fashion,On-Time,Standard
179,41,97819,76,18471,4620,3,316.89,20,0.63,176,0.97,2228,Travel,On-Time,Gold
180,80,114776,73,29275,12501,10,272.62,15,0.3,109,0.05,-440,Home,On-Time,Gold
181,54,123822,71,20820,18987,4,365.97,9,0.53,17,0.38,6470,Fashion,On-Time,Standard
182,32,155542,70,28620,13930,1,334.53,2,0.63,97,0.61,4007,Fashion,Delayed,Gold
183,28,84763,12,21290,12353,5,182.23,15,0.41,51,0.2,5018,Food,Delayed,Standard
184,52,85956,89,13860,3995,4,333.45,0,0.64,161,0.63,704,Fashion,On-Time,Standard
185,41,20000,55,20316,13398,5,393.8,16,0.82,127,0.51,113,Food,Delayed,Standard
186,55,53743,58,17353,5572,6,342.99,11,0.63,148,0.56,4626,Home,On-Time,Gold
187,52,67276,31,30377,1793,5,274.86,12,0.17,170,0.35,814,Fashion,On-Time,Standard
188,43,117012,82,9151,3705,5,347.44,18,0.32,18,0.91,1995,Home,On-Time,Standard
189,32,50559,78,6581,9159,5,262.93,11,0.96,137,0.8,4539,Electronics,On-Time,Gold
190,22,106853,53,22337,6220,7,202.68,18,0.36,33,0.41,2070,Fashion,On-Time,Platinum
191,38,74935,1,17413,12013,7,329.75,12,0.83,51,0.69,1787,Electronics,On-Time,Standard
192,57,67913,36,10834,7355,8,58.56,18,0.14,7,0.29,4124,Electronics,On-Time,Standard
193,48,84955,82,19718,11944,3,91.79,1,0.99,160,0.9,1104,Food,Delayed,Standard
194,26,59353,96,22130,7822,7,132.42,13,0.21,97,0.54,4217,Home,Delayed,Gold
195,47,57838,32,29828,9660,3,490.56,9,0.96,143,0.55,1863,Fashion,On-Time,Gold
196,50,20000,0,5178,3133,4,178.95,19,0.05,102,0.01,2897,Travel,On-Time,Gold
197,31,65081,27,21483,20046,7,275.06,15,0.58,26,0.64,3552,Fashion,Late,Standard
198,47,55801,16,33130,0,8,306.41,5,0.18,166,0.03,-350,Fashion,Delayed,Gold
199,45,54360,56,32751,27426,7,55.81,6,0.65,160,0.69,4986,Food,On-Time,Gold
200,27,91674,69,20739,13316,6,84.5,20,0.9,3,0.46,785,Electronics,Delayed,Standard
201,50,101345,51,15272,0,9,120.18,1,0.3,100,0.52,4351,Home,On-Time,Gold
202,53,84287,43,17843,10692,7,148.04,0,0.4,74,0.94,2219,Travel,On-Time,Gold
203,61,114816,83,12121,11556,4,82.72,12,0.05,138,0.92,1909,Fashion,On-Time,Standard
204,60,98022,46,16468,20448,4,342.72,19,0.58,149,0.05,3356,Fashion,On-Time,Platinum
205,24,63197,12,20626,557,9,103.82,20,0.6,77,0.95,2611,Food,On-Time,Gold
206,30,56485,75,23764,566,6,452.76,19,0.62,166,0.09,1008,Home,Delayed,Standard
207,52,87512,29,26827,12413,3,276.43,3,0.91,129,0.3,2030,Travel,On-Time,Standard
208,52,97950,84,19115,11353,6,134.13,2,0.09,97,0.57,1220,Electronics,On-Time,Gold
209,52,130913,65,18523,20270,5,154.12,3,0.47,10,0.7,224,Home,On-Time,Standard
210,80,122646,52,27011,3012,6,341.05,12,0.3,55,0.82,2529,Fashion,On-Time,Gold
211,53,53341,17,17255,2438,1,100.8,14,0.24,50,0.52,-1424,Electronics,On-Time,Standard
212,62,70919,27,25589,23091,7,70.15,9,0.34,66,0.32,4147,Food,On-Time,Platinum
213,59,101840,3,6784,9681,6,409.77,16,0.94,113,0.54,3209,Travel,On-Time,Standard
214,54,117719,41,23736,4781,7,271.43,14,0.25,127,0.09,663,Food,Delayed,Standard
215,40,112558,5,36905,14940,6,432.47,18,0.08,45,0.11,2388,Travel,On-Time,Platinum
216,56,72444,8,12588,0,2,477.7,18,0.41,121,0.64,6223,Electronics,On-Time,Standard
217,33,24839,19,31464,12648,7,254.42,14,0.27,73,0.36,1874,Electronics,Delayed,Gold
218,41,35042,93,25551,5576,6,186.55,8,0.29,70,0.05,4722,Fashion,On-Time,Standard
219,37,85905,100,26996,6485,4,216.61,12,0.45,155,0.59,2340,Food,Delayed,Standard
220,46,88689,37,25356,19067,4,451.95,5,0.82,165,0.95,443,Fashion,On-Time,Standard
221,79,31052,67,14918,13004,4,499.31,9,0.84,23,0.36,715,Home,On-Time,Standard
222,18,76782,49,9572,2105,3,221.57,0,0.48,92,0.54,3079,Fashion,On-Time,Standard
223,55,100248,59,23795,10360,2,484.05,15,0.84,151,0.96,4902,Electronics,On-Time,Standard
224,20,28950,12,19017,10819,3,277.43,10,0.17,38,0.25,3623,Home,On-Time,Gold
225,37,119199,98,8863,8165,7,66.49,17,0.27,130,0.81,5673,Home,On-Time,Gold
226,61,59898,93,16368,3278,5,141.16,1,0.16,99,0.27,2621,Fashion,On-Time,Gold
227,45,125304,41,11568,11587,4,224.26,1,0.92,101,0.86,4539,Food,Late,Standard
228,28,53661,67,35342,14905,4,209.36,14,0.76,25,0.19,1701,Travel,On-Time,Standard
229,34,33934,24,26734,13176,5,415.89,3,0.77,142,0.2,3056,Travel,On-Time,Gold
230,55,56674,30,12176,5010,3,404.34,17,0.69,75,0.03,1326,Fashion,Delayed,Gold
231,34,71194,11,24011,8895,2,106.82,16,0.01,68,0.17,-107,Fashion,Delayed,Gold
232,48,59460,63,10732,0,7,75.6,14,0.21,17,0.36,3766,Food,On-Time,Platinum
233,45,66359,78,5456,21188,5,369.43,14,0.87,67,0.52,2107,Fashion,Delayed,Standard
234,35,88358,60,14412,5788,4,241.53,3,0.48,130,0.89,1179,Home,On-Time,Standard
235,77,68152,52,18794,6358,2,127.26,7,0.74,144,0.63,1112,Fashion,On-Time,Standard
236,54,72355,25,23060,798,4,88.88,17,0.22,88,0.45,-2368,Food,On-Time,Standard
237,18,20000,60,26958,16026,7,146.35,3,0.07,115,0.93,-1143,Food,On-Time,Gold
238,47,90667,9,17136,17196,5,481.22,16,0.83,72,0.37,396,Food,On-Time,Gold
239,35,71431,11,25389,6012,6,89.17,2,0.23,104,0.11,4922,Food,Delayed,Standard
240,57,139411,21,7219,2035,7,297.84,11,0.22,131,0.95,3223,Travel,On-Time,Gold
241,33,37417,52,31729,10143,6,61.78,20,0.4,85,0.61,3795,Food,Delayed,Gold
242,43,20000,20,7498,7694,8,456.52,5,0.55,102,0.84,3029,Travel,On-Time,Standard
243,52,99722,34,16049,15210,8,280.39,20,0.63,28,0.07,544,Electronics,Late,Platinum
244,57,88861,70,14364,9080,8,471.84,11,0.93,122,0.95,1154,Food,On-Time,Gold
245,26,34662,81,8501,8582,5,196.1,16,0.76,177,0.98,42,Home,On-Time,Gold
246,39,20000,26,22648,14693,4,232.35,19,0.53,124,0.01,4802,Food,On-Time,Gold
247,37,136495,59,33656,0,5,387.3,3,0.14,62,0.58,492,Home,On-Time,Standard
248,35,131564,98,5488,7821,5,473.87,4,0.14,139,0.41,2989,Fashion,On-Time,Gold
249,71,20000,46,5000,11345,6,113.02,15,0.13,173,0.51,5038,Fashion,Delayed,Standard
250,51,56671,65,13001,7005,6,229.0,10,0.99,143,0.18,375,Travel,Delayed,Standard
251,26,141567,95,18118,11965,3,486.76,2,0.81,29,0.77,872,Home,On-Time,Platinum
252,58,55957,14,26133,11551,6,196.63,14,0.09,172,0.26,-1064,Home,Delayed,Standard
253,76,55375,23,16160,16153,6,471.62,19,0.3,170,0.63,2477,Fashion,On-Time,Platinum
254,60,63689,83,5253,8079,4,329.07,19,0.32,148,0.12,1567,Fashion,Late,Gold
255,22,30164,9,30264,0,2,266.33,15,0.32,85,0.55,2995,Food,On-Time,Platinum
256,37,20000,87,12682,0,7,199.39,14,0.01,111,0.43,3616,Travel,On-Time,Standard
257,64,117101,23,25044,13244,3,279.1,2,0.43,152,0.11,1279,Home,On-Time,Standard
258,34,20000,87,10894,11269,5,344.21,7,0.86,93,0.04,2884,Electronics,On-Time,Standard
259,51,84890,56,18532,8418,3,369.78,6,0.11,120,0.85,3759,Electronics,Delayed,Platinum
260,56,110463,33,22846,8926,6,84.34,14,0.06,44,0.54,1081,Travel,On-Time,Standard
261,31,20000,40,13151,5463,8,338.15,5,0.65,56,0.67,4150,Electronics,Late,Standard
262,44,38029,39,23398,5487,4,451.59,1,0.77,28,0.68,4044,Fashion,Late,Standard
263,18,123527,10,17131,6170,2,242.1,10,0.24,134,0.28,3953,Food,On-Time,Gold
264,29,96315,89,16346,8045,9,162.73,9,0.91,28,0.73,2637,Fashion,Delayed,Standard
265,41,50308,0,32068,10854,6,364.67,9,0.68,110,0.04,3181,Fashion,On-Time,Standard
266,26,123089,29,22840,9463,6,101.2,10,0.48,58,0.08,2695,Travel,Delayed,Gold
267,69,123261,42,23909,7707,6,469.74,2,0.8,114,0.16,2774,Fashion,On-Time,Gold
268,23,85762,81,25892,14869,3,280.86,15,0.32,8,0.54,2379,Travel,On-Time,Gold
269,38,38993,25,24606,16083,3,347.75,15,0.27,49,0.86,1796,Travel,Delayed,Platinum
270,46,58462,52,22853,19370,5,208.62,7,0.26,20,0.46,2672,Home,Delayed,Gold
271,66,86455,46,29923,8680,5,243.55,14,0.18,20,0.71,5748,Food,Delayed,Standard
272,23,67456,8,12501,6356,2,309.64,18,0.88,122,0.32,2601,Travel,On-Time,Standard
273,62,112558,8,21185,9554,2,494.24,2,0.39,45,0.25,4150,Electronics,Delayed,Standard
274,45,20000,0,17522,6159,6,366.06,4,0.87,144,0.82,4758,Electronics,On-Time,Standard
275,30,20000,70,21128,9888,6,470.68,12,0.88,146,0.27,4289,Travel,On-Time,Standard
276,51,82234,43,14412,12849,6,479.89,8,0.13,88,0.42,6012,Food,On-Time,Standard
277,47,55338,58,7018,10745,9,401.42,13,0.04,96,0.84,3783,Home,On-Time,Gold
278,35,49918,55,26400,8869,5,68.52,4,0.97,28,0.6,4589,Fashion,On-Time,Standard
279,46,20000,50,39301,14470,4,171.65,18,0.21,180,0.6,5670,Food,On-Time,Standard
280,39,75781,15,28609,21735,3,413.05,10,0.38,175,0.09,1852,Electronics,On-Time,Gold
281,46,72889,37,26937,5046,9,56.15,18,0.13,93,0.26,2416,Home,On-Time,Platinum
